Anno,Categoria,Delitti,Popolazione,Tasso_per_1000
2014,Altro,776177,60345917,12.862129512424179
2014,Droga,33246,60345917,0.5509237683802203
2014,Furti,2514527,60345917,41.66855232310083
2014,Rapine,70291,60345917,1.1648012573907858
2014,Truffe e Frodi,153023,60345917,2.5357639357771298
2014,Violenze contro la persona,240975,60345917,3.993227909686085
2015,Altro,766890,60295497,12.718860249215625
2015,Droga,32615,60295497,0.5409193326659203
2015,Furti,2349976,60295497,38.97432008894462
2015,Rapine,63046,60295497,1.0456170549518813
2015,Truffe e Frodi,164533,60295497,2.7287775735557833
2015,Violenze contro la persona,229661,60295497,3.8089245702709773
2016,Altro,728744,60163712,12.112683472721896
2016,Droga,36133,60163712,0.6005779696571913
2016,Furti,2171011,60163712,36.085057384757114
2016,Rapine,59263,60163712,0.9850289822542864
2016,Truffe e Frodi,171105,60163712,2.843990078271766
2016,Violenze contro la persona,176482,60163712,2.933362888247321
2017,Altro,752534,60066734,12.528298941640475
2017,Droga,39592,60066734,0.6591335563541709
2017,Furti,2035143,60066734,33.88136601533887
2017,Rapine,54944,60066734,0.9147159557568088
2017,Truffe e Frodi,181892,60066734,3.028165306940111
2017,Violenze contro la persona,165888,60066734,2.7617283137118793
2018,Altro,740258,59937769,12.350443006979456
2018,Droga,40371,59937769,0.6735485933752389
2018,Furti,1929378,59937769,32.189686606453435
2018,Rapine,51306,59937769,0.8559878162965993
2018,Truffe e Frodi,208900,59937769,3.48528154259462
2018,Violenze contro la persona,163508,59937769,2.727962730811686
2019,Altro,773432,59816673,12.930040425350972
2019,Droga,39290,59816673,0.6568402759544986
2019,Furti,1729119,59816673,28.906973813137352
2019,Rapine,43532,59816673,0.7277569583316678
2019,Truffe e Frodi,233758,59816673,3.907907081358403
2019,Violenze contro la persona,163184,59816673,2.7280688111824607
2020,Altro,710742,59641488,11.916905896110439
2020,Droga,35149,59641488,0.5893380795596516
2020,Furti,1151585,59641488,19.308455214933606
2020,Rapine,35929,59641488,0.6024162240888423
2020,Truffe e Frodi,270690,59641488,4.538619157188029
2020,Violenze contro la persona,146147,59641488,2.4504251134713475
2021,Altro,768984,59236213,12.981653638121667
2021,Droga,31159,59236213,0.526012694295633
2021,Furti,1288252,59236213,21.74771030686921
2021,Rapine,39946,59236213,0.6743510089005859
2021,Truffe e Frodi,320341,59236213,5.407857521209197
2021,Violenze contro la persona,154305,59236213,2.6049099391279453
2022,Altro,771913,59030133,13.07659259381984
2022,Droga,30326,59030133,0.5137376193951655
2022,Furti,1531495,59030133,25.94429187547316
2022,Rapine,46236,59030133,0.7832609829965994
2022,Truffe e Frodi,311610,59030133,5.278829373465921
2022,Violenze contro la persona,157916,59030133,2.675176083374232
2023,Altro,770648,58997201,13.06245019996796
2023,Droga,31656,58997201,0.5365678280228922
2023,Furti,1632980,58997201,27.678940226333786
2023,Rapine,50500,58997201,0.85597281132032
2023,Truffe e Frodi,335579,58997201,5.688049505941816
2023,Violenze contro la persona,157788,58997201,2.674499761437835
2024,Altro,802031,58971230,13.600377675690332
2024,Droga,33166,58971230,0.5624098395098762
2024,Furti,1678127,58971230,28.45670677040313
2024,Rapine,51486,58971230,0.8730698003077094
2024,Truffe e Frodi,316320,58971230,5.363971550194901
2024,Violenze contro la persona,167805,58971230,2.8455401048952176
